example_id                                           | status  | run_time        |
./spec/policies/product_policy_spec.rb[1:1:1:2]      | passed  | 0.0912 seconds  |
./spec/policies/product_policy_spec.rb[1:1:1:3]      | passed  | 0.0542 seconds  |
./spec/policies/product_policy_spec.rb[1:1:2:1]      | passed  | 0.03271 seconds |
./spec/policies/product_policy_spec.rb[1:1:2:2]      | passed  | 0.03224 seconds |
./spec/policies/product_policy_spec.rb[1:1:2:3]      | passed  | 0.03254 seconds |
./spec/policies/product_policy_spec.rb[1:1:3:1]      | passed  | 0.03517 seconds |
./spec/policies/product_policy_spec.rb[1:1:3:2]      | passed  | 0.03539 seconds |
./spec/policies/product_policy_spec.rb[1:1:3:3]      | passed  | 0.03658 seconds |
./spec/policies/product_policy_spec.rb[1:2:1]        | passed  | 0.02304 seconds |
./spec/policies/product_policy_spec.rb[1:2:2]        | passed  | 0.017 seconds   |
./spec/policies/product_policy_spec.rb[1:2:3]        | passed  | 0.01927 seconds |
./spec/policies/product_policy_spec.rb[1:2:4:1]      | passed  | 0.02299 seconds |
./spec/policies/product_policy_spec.rb[1:2:4:2]      | passed  | 0.06254 seconds |
./spec/policies/product_policy_spec.rb[1:2:4:3]      | passed  | 0.02382 seconds |
./spec/policies/product_policy_spec.rb[1:2:4:4]      | passed  | 0.0255 seconds  |
./spec/policies/product_policy_spec.rb[1:2:5]        | passed  | 0.01881 seconds |
./spec/policies/product_policy_spec.rb[1:3:1]        | passed  | 0.00722 seconds |
./spec/policies/product_policy_spec.rb[1:3:2]        | passed  | 0.00196 seconds |
./spec/policies/product_policy_spec.rb[1:4:1:1]      | passed  | 0.0084 seconds  |
./spec/policies/product_policy_spec.rb[1:4:1:2]      | passed  | 0.01273 seconds |
./spec/policies/product_policy_spec.rb[1:4:2]        | passed  | 0.00842 seconds |
./spec/policies/product_policy_spec.rb[1:5:1]        | pending | 0.00001 seconds |
./spec/policies/user_policy_spec.rb[1:1:1]           | pending | 0.00001 seconds |
./spec/policies/user_policy_spec.rb[1:2:1]           | pending | 0.00001 seconds |
./spec/policies/user_policy_spec.rb[1:3:1]           | pending | 0.00001 seconds |
./spec/policies/user_policy_spec.rb[1:4:1]           | pending | 0.00001 seconds |
./spec/policies/user_policy_spec.rb[1:5:1]           | pending | 0.00001 seconds |
./spec/requests/api/products_spec.rb[1:1:1:1]        | passed  | 0.03177 seconds |
./spec/requests/api/products_spec.rb[1:1:1:2]        | passed  | 0.05394 seconds |
./spec/requests/api/products_spec.rb[1:1:1:3]        | passed  | 0.03023 seconds |
./spec/requests/api/products_spec.rb[1:1:1:4]        | passed  | 0.04787 seconds |
./spec/requests/api/products_spec.rb[1:1:2:1]        | passed  | 0.01517 seconds |
